No,,作品名,タイトル,種別,タグ区分,カテゴリ,説明,使用技術,ファイル,行数,サイズ(KB),公開日,最終更新,コミット数,デモURL,ソースURL
1,🌈,RAINBOW YARN,RAINBOW YARN ─ 虹あやとり,楽器,HANDS,虹あやとり,両手の指先に虹色のあやとりが生まれる。指の本数と手の広げ具合で音色が変わり、両手グーで音が止まる。,MediaPipe Hands / Web Audio / カメラ(getUserMedia) / Canvas 2D,rainbow-ayatori/index.html,864,36.2,2026-07-17,2026-07-17,1,https://apaapaapaapaapa2006-source.github.io/Oto/rainbow-ayatori/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/rainbow-ayatori/index.html
2,🌑,DARK SONAR,DARK SONAR — 音だけが光,楽器,MOTION,ソナー,暗闇に響くソナーの楽器。動きが波紋になり、手拍子にも反応する。,Web Audio / カメラ(getUserMedia),dark-sonar/index.html,79,15.3,2026-07-12,2026-07-12,2,https://apaapaapaapaapa2006-source.github.io/Oto/dark-sonar/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/dark-sonar/index.html
3,✨,PHOTON HARP,PHOTON HARP,楽器,HANDS,ハープ,カメラで演奏する光のハープ。手の動きが弦をはじく。,MediaPipe Hands / Web Audio / Canvas 2D,photon harp.html,400,14.6,2026-07-07,2026-07-07,1,https://apaapaapaapaapa2006-source.github.io/Oto/photon%20harp.html,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/photon%20harp.html
4,🫥,CONTOUR,CONTOUR,楽器,FACE & HANDS,表情楽器,顔が、楽器になる。表情と両手のジェスチャーで音と光を操るインストゥルメント。,MediaPipe Hands / Face Landmarker / Web Audio / カメラ(getUserMedia) / Canvas 2D,contour-3/index.html,1058,36.2,2026-07-18,2026-07-18,1,https://apaapaapaapaapa2006-source.github.io/Oto/contour-3/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/contour-3/index.html
5,🔮,SIGIL,SIGIL ─ 電脳魔法陣,楽器,HANDS,電脳魔法陣,手が電脳魔法陣を紡ぐ楽器。指の本数でルーンが展開し、拳を握ると呪文を詠唱して光が弾ける。,MediaPipe Hands / Web Audio / カメラ(getUserMedia) / Canvas 2D,sigil/index.html,844,36.0,2026-08-13,2026-08-13,1,https://apaapaapaapaapa2006-source.github.io/Oto/sigil/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/sigil/index.html
6,🌌,AURORA,AURORA ─ 星々の指揮者,楽器,BODY,星の指揮者,全身の動きで星々をつなぎ、オーロラを奏でる楽器。手を高く掲げると音が輝き、素早く動かすと流れ星が鳴る。,MediaPipe Pose / Web Audio / カメラ(getUserMedia) / Canvas 2D,aurora/index.html,615,27.1,2026-08-13,2026-08-13,1,https://apaapaapaapaapa2006-source.github.io/Oto/aurora/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/aurora/index.html
7,👻,SIREN,SIREN ─ 歌う幻影,楽器,VOICE & HAND,声の幻影,マイクに歌うと声の高さがそのまま幻影の声になる楽器。片手にその魂が宿り、握りしめると声が消える。,MediaPipe Hands / Web Audio / カメラ(getUserMedia) / Canvas 2D,siren/index.html,861,35.5,2026-08-13,2026-08-13,1,https://apaapaapaapaapa2006-source.github.io/Oto/siren/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/siren/index.html
8,🥊,PUNCH BEAT,PUNCH BEAT ─ 光る的を撃ち抜け,ゲーム,GAME,リズムパンチ,光る的をリズムよくパンチするカメラゲーム。タイミングが良いほど高得点、外すとHPが減りゲームオーバーに。,MediaPipe Hands / Web Audio / カメラ(getUserMedia) / Canvas 2D,punch-beat/index.html,763,31.6,2026-08-14,2026-08-14,1,https://apaapaapaapaapa2006-source.github.io/Oto/punch-beat/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/punch-beat/index.html
9,🐊,CROCO PANIC,CROCO PANIC ─ 電脳ワニワニパニック,ゲーム,GAME,もぐらたたき,電脳ワニワニパニック。ハッチから飛び出すネオンのワニを手で叩け。トラップを誤爆すると減点、45秒のタイムアタック。,MediaPipe Hands / Web Audio / カメラ(getUserMedia) / Canvas 2D,croco-panic/index.html,901,36.4,2026-08-15,2026-08-16,2,https://apaapaapaapaapa2006-source.github.io/Oto/croco-panic/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/croco-panic/index.html
10,👤,PENUMBRA,PENUMBRA ─ 影の竪琴,楽器,SILHOUETTE,影の竪琴,カメラの前に立つと影が浮かび上がり、体の動きが12本の光の弦を弾く楽器。影を大きく広げるほど伴奏が厚くなる。,Selfie Segmentation / Web Audio / カメラ(getUserMedia) / Canvas 2D,penumbra/index.html,694,28.9,2026-08-15,2026-08-15,1,https://apaapaapaapaapa2006-source.github.io/Oto/penumbra/,https://github.com/apaapaapaapaapa2006-source/Oto/blob/claude/upload-project-github-w5g1fq/penumbra/index.html
